# longitude  latitude
-121.505219     36.000000
-121.505775     36.000137
-121.506973     36.001221
-121.507858     36.001862
-121.508972     36.003082
-121.509613     36.003220
-121.510582     36.003922
-121.511612     36.005005
-121.514526     36.005005
-121.515999     36.005806
-121.519691     36.005806
-121.520248     36.006027
-121.520638     36.006439
-121.521721     36.006744
-121.522636     36.007500
-121.523056     36.007446
-121.523613     36.007751
-121.523888     36.008194
-121.525002     36.008446
-121.525414     36.008774
-121.526474     36.009193
-121.528221     36.010666
-121.529335     36.011002
-121.530167     36.011642
-121.530807     36.011665
-121.531639     36.012421
-121.532860     36.012779
-121.533775     36.013412
-121.535057     36.013412
-121.535889     36.014191
-121.542252     36.014191
-121.543777     36.015083
-121.545029     36.015030
-121.545807     36.015862
-121.547417     36.015862
-121.548332     36.016556
-121.550140     36.016754
-121.550835     36.017441
-121.551476     36.017471
-121.552971     36.018501
-121.553581     36.018356
-121.556335     36.018555
-121.560837     36.018448
-121.561806     36.019081
-121.562447     36.019302
-121.564140     36.019279
-121.565002     36.018555
-121.567307     36.018387
-121.568916     36.019226
-121.570114     36.019112
-121.570747     36.019913
-121.571915     36.020279
-121.573669     36.021667
-121.575943     36.024109
-121.575943     36.024223
-121.575859     36.024689
-121.576141     36.025192
-121.576691     36.025497
-121.576752     36.026855
-121.577553     36.028305
-121.577553     36.028778
-121.578529     36.030029
-121.578529     36.030556
-121.579330     36.032394
-121.580025     36.033081
-121.580414     36.034531
-121.581665     36.035385
-121.581863     36.036362
-121.582443     36.037308
-121.582527     36.038162
-121.584053     36.039665
-121.584251     36.041611
-121.584862     36.041611
-121.587776     36.044167
-121.588417     36.044052
-121.589249     36.044945
-121.590363     36.045113
-121.593224     36.047722
-121.593834     36.048523
-121.593719     36.050529
-121.593140     36.051445
-121.592026     36.051727
-121.591530     36.052002
-121.590858     36.052856
-121.591080     36.053360
-121.593918     36.055969
-121.594391     36.056778
-121.594307     36.061943
-121.594223     36.062866
-121.594276     36.063248
-121.595581     36.064804
-121.597527     36.066498
-121.598724     36.066917
-121.600250     36.068359
-121.600777     36.068359
-121.601669     36.069061
-121.604111     36.069275
-121.604668     36.069504
-121.605804     36.070724
-121.607056     36.070969
-121.607475     36.071472
-121.607666     36.072334
-121.609032     36.073723
-121.609360     36.075058
-121.610138     36.075699
-121.611252     36.075943
-121.611664     36.076332
-121.611862     36.077301
-121.613113     36.078690
-121.613197     36.078812
-121.615135     36.080719
-121.615196     36.081635
-121.617470     36.083916
-121.618446     36.084137
-121.619919     36.085640
-121.620499     36.085945
-121.621109     36.085892
-121.621864     36.086578
-121.621971     36.090836
-121.622559     36.091644
-121.622749     36.093002
-121.623421     36.093887
-121.623611     36.095718
-121.624359     36.096420
-121.624527     36.099884
-121.625137     36.100777
-121.625275     36.101807
-121.628609     36.104805
-121.628670     36.105835
-121.629059     36.106247
-121.629524     36.107498
-121.631332     36.109253
-121.632080     36.111137
-121.632500     36.111496
-121.632774     36.112411
-121.633163     36.113167
-121.634888     36.114388
-121.635246     36.115143
-121.635246     36.115639
-121.634529     36.116501
-121.634308     36.117004
-121.635246     36.119308
-121.637337     36.121498
-121.638969     36.121750
-121.639442     36.122002
-121.640198     36.122917
-121.642113     36.123642
-121.642441     36.124023
-121.643585     36.124443
-121.643860     36.124916
-121.644753     36.125610
-121.645859     36.125832
-121.646309     36.126144
-121.646835     36.126999
-121.646919     36.127533
-121.647469     36.128029
-121.647636     36.128998
-121.648781     36.130219
-121.649445     36.131500
-121.650360     36.131912
-121.651054     36.132553
-121.651810     36.133415
-121.651779     36.134720
-121.652611     36.136444
-121.653526     36.136856
-121.654999     36.138306
-121.656166     36.138443
-121.656586     36.138672
-121.659225     36.141495
-121.660110     36.143250
-121.660309     36.144440
-121.663414     36.147499
-121.664558     36.147690
-121.666275     36.149506
-121.666275     36.149551
-121.667389     36.150696
-121.668526     36.150894
-121.669357     36.151581
-121.669556     36.152779
-121.670303     36.153473
-121.671219     36.153503
-121.673943     36.156281
-121.674332     36.157196
-121.675720     36.158859
-121.676971     36.161057
-121.676941     36.161972
-121.678360     36.163254
-121.679474     36.163559
-121.680580     36.164749
-121.681053     36.165115
-121.683197     36.165192
-121.683807     36.165359
-121.685165     36.166695
-121.686195     36.167000
-121.686668     36.167641
-121.687943     36.167755
-121.688416     36.168442
-121.689194     36.169144
-121.692558     36.170776
-121.694168     36.170975
-121.696251     36.172836
-121.698364     36.174225
-121.699471     36.174469
-121.700531     36.175499
-121.701141     36.176773
-121.703362     36.178970
-121.703529     36.180862
-121.704025     36.181671
-121.704720     36.182251
-121.705917     36.182610
-121.706612     36.183304
-121.707809     36.183609
-121.709892     36.185394
-121.710335     36.187805
-121.712219     36.189720
-121.712692     36.190056
-121.713333     36.190079
-121.714165     36.190781
-121.714806     36.190781
-121.716469     36.192001
-121.716751     36.192474
-121.716835     36.193443
-121.718414     36.195000
-121.719391     36.195168
-121.719887     36.195587
-121.720947     36.195946
-121.722336     36.197334
-121.724030     36.197586
-121.725388     36.198441
-121.727890     36.198364
-121.728470     36.198471
-121.729164     36.199112
-121.731003     36.199310
-121.731888     36.199997
-121.731888     36.200584
-121.734528     36.202606
-121.737000     36.202637
-121.738136     36.203003
-121.739250     36.204140
-121.740303     36.204277
-121.740913     36.205139
-121.741249     36.206161
-121.741608     36.206528
-121.744415     36.207695
-121.745247     36.208443
-121.745888     36.208611
-121.747971     36.209610
-121.748360     36.210030
-121.748886     36.210190
-121.754417     36.210144
-121.755165     36.210556
-121.756279     36.212219
-121.757668     36.213394
-121.758331     36.213501
-121.759834     36.214783
-121.761719     36.215775
-121.762421     36.216644
-121.763443     36.216888
-121.765640     36.219025
-121.766609     36.219254
-121.767807     36.220306
-121.768776     36.221001
-121.769279     36.221054
-121.771942     36.222641
-121.773720     36.222641
-121.774330     36.222778
-121.776749     36.224915
-121.777832     36.225281
-121.779747     36.227005
-121.783249     36.226860
-121.783806     36.227051
-121.784470     36.227692
-121.786331     36.227470
-121.787025     36.227585
-121.787193     36.228058
-121.788414     36.228363
-121.788887     36.228638
-121.789665     36.229973
-121.790276     36.230194
-121.790886     36.230888
-121.791885     36.231033
-121.792862     36.231720
-121.794060     36.231667
-121.795250     36.231812
-121.796722     36.233192
-121.797165     36.233360
-121.800804     36.233475
-121.801804     36.233307
-121.802666     36.232666
-121.804779     36.232635
-121.805496     36.232025
-121.806053     36.231720
-121.806641     36.231750
-121.807610     36.232445
-121.809166     36.232582
-121.810165     36.233276
-121.812386     36.233391
-121.813332     36.234024
-121.814445     36.234161
-121.815750     36.236420
-121.815887     36.237389
-121.816223     36.237831
-121.816917     36.238525
-121.818390     36.239250
-121.818581     36.239578
-121.819168     36.239883
-121.821693     36.239975
-121.822998     36.240944
-121.825775     36.240967
-121.826775     36.241554
-121.829140     36.243866
-121.829247     36.244919
-121.830971     36.246643
-121.832748     36.246719
-121.835609     36.247665
-121.836830     36.249222
-121.836830     36.253166
-121.837608     36.253967
-121.837891     36.254944
-121.838501     36.255753
-121.838608     36.257309
-121.839249     36.258110
-121.839584     36.259361
-121.841110     36.261055
-121.841248     36.261780
-121.841553     36.262306
-121.842415     36.262939
-121.842834     36.264221
-121.845276     36.266640
-121.845497     36.267609
-121.845970     36.268188
-121.846275     36.269501
-121.846779     36.269859
-121.846886     36.270828
-121.847580     36.271584
-121.849083     36.271942
-121.849556     36.272690
-121.849472     36.273224
-121.849693     36.273666
-121.850945     36.274780
-121.850998     36.275749
-121.851219     36.276199
-121.851692     36.276611
-121.852859     36.276833
-121.854416     36.278366
-121.855026     36.278412
-121.858139     36.280228
-121.859360     36.280060
-121.860138     36.279251
-121.861359     36.279167
-121.861916     36.279388
-121.865807     36.283173
-121.866943     36.283333
-121.867691     36.284027
-121.867691     36.284943
-121.869026     36.285751
-121.870888     36.285828
-121.871582     36.286583
-121.872749     36.286888
-121.874443     36.288391
-121.875053     36.288445
-121.875664     36.288750
-121.877609     36.290466
-121.877640     36.291862
-121.877914     36.292191
-121.878471     36.292557
-121.879112     36.292557
-121.880081     36.293251
-121.881165     36.293503
-121.882553     36.294754
-121.883080     36.296249
-121.886192     36.299133
-121.886497     36.300644
-121.887611     36.301727
-121.889305     36.301918
-121.890640     36.302551
-121.893112     36.302582
-121.894028     36.303162
-121.895081     36.303528
-121.896278     36.303307
-121.897026     36.302551
-121.899834     36.302582
-121.900391     36.302834
-121.901443     36.303802
-121.902000     36.304085
-121.902496     36.304108
-121.903053     36.304276
-121.903664     36.305779
-121.904640     36.306862
-121.904778     36.307831
-121.904335     36.308693
-121.903442     36.309387
-121.902496     36.309357
-121.900719     36.308388
-121.900108     36.308556
-121.898666     36.310196
-121.898560     36.311615
-121.897194     36.313110
-121.897057     36.313217
-121.896805     36.315666
-121.896332     36.316582
-121.896057     36.318916
-121.896057     36.323555
-121.896889     36.325165
-121.897110     36.327415
-121.896942     36.328278
-121.895416     36.329918
-121.895195     36.330948
-121.894470     36.331779
-121.894470     36.335335
-121.893692     36.336578
-121.893471     36.337448
-121.893639     36.340721
-121.894890     36.342224
-121.895309     36.343140
-121.896278     36.343666
-121.897247     36.344582
-121.897720     36.345917
-121.898888     36.346832
-121.899498     36.348610
-121.903053     36.352142
-121.903526     36.352470
-121.904083     36.352501
-121.904610     36.352722
-121.905830     36.353745
-121.906082     36.355606
-121.907219     36.356110
-121.907555     36.356529
-121.907608     36.356995
-121.906830     36.358582
-121.905830     36.359612
-121.905609     36.360062
-121.905998     36.360916
-121.906136     36.362534
-121.905693     36.363220
-121.904640     36.363358
-121.904137     36.363724
-121.903664     36.364502
-121.903580     36.367195
-121.904221     36.368279
-121.904442     36.369995
-121.904945     36.370865
-121.906609     36.371170
-121.907303     36.371857
-121.907692     36.372726
-121.907890     36.373695
-121.907722     36.375137
-121.906914     36.376724
-121.906525     36.376999
-121.906136     36.377472
-121.906136     36.378334
-121.905472     36.379166
-121.905388     36.379700
-121.904388     36.380615
-121.903664     36.381912
-121.903610     36.386551
-121.904442     36.388062
-121.905304     36.388809
-121.905441     36.391190
-121.905304     36.391724
-121.904442     36.392441
-121.904861     36.392860
-121.905945     36.395447
-121.906441     36.396088
-121.907082     36.397858
